Neighborhood,ID,1st Most Common Job,2nd Most Common Job,3rd Most Common Job,4th Most Common Job,5th Most Common Job
Dufferin Grove,83,Professional,Accomodation,Cultural industry,Education,Health care
Little Portugal,84,Professional,Accomodation,Cultural industry,Retail trade,Education
South Parkdale,85,Accomodation,Retail trade,Professional,Health care,Cultural industry
Roncesvalles,86,Professional,Education,Accomodation,Cultural industry,Health care
High Park-Swansea,87,Professional,Education,Health care,Finance,Retail trade
High Park North,88,Professional,Education,Health care,Finance,Accomodation
Runnymede-Bloor West Village,89,Professional,Education,Health care,Finance,Cultural industry
Junction Area,90,Professional,Education,Retail trade,Health care,Construction
Weston-Pelham Park,91,Construction,Retail trade,Health care,Accomodation,Admin &                         support
Corso Italia-Davenport,92,Construction,Retail trade,Education,Professional,Health care
Dovercourt-Wallace Emerson-Junction,93,Retail trade,Professional,Accomodation,Education,Construction
Wychwood,94,Professional,Education,Health care,Accomodation,Retail trade
Annex,95,Professional,Education,Finance,Health care,Accomodation
Casa Loma,96,Professional,Education,Health care,Finance,Retail trade
Yonge-St.Clair,97,Professional,Finance,Education,Health care,Retail trade
Rosedale-Moore Park,98,Professional,Finance,Health care,Education,Retail trade
Mount Pleasant East,99,Professional,Education,Finance,Health care,Retail trade
Yonge-Eglinton,100,Professional,Finance,Education,Health care,Retail trade
Forest Hill South,101,Professional,Health care,Finance,Retail trade,Education
Forest Hill North,102,Professional,Health care,Education,Retail trade,Finance
Lawrence Park South,103,Professional,Finance,Health care,Education,Retail trade
Mount Pleasant West,104,Professional,Finance,Health care,Education,Retail trade
Lawrence Park North,105,Professional,Finance,Education,Health care,Retail trade
Humewood-Cedarvale,106,Professional,Health care,Education,Retail trade,Other services
Oakwood Village,107,Retail trade,Health care,Education,Professional,Construction
Briar Hill-Belgravia,108,Health care,Retail trade,Construction,Manufacturing,Admin &                         support
Caledonia-Fairbank,109,Construction,Retail trade,Health care,Admin &                         support,Manufacturing
Keelesdale-Eglinton West,110,Construction,Retail trade,Manufacturing,Admin &                         support,Health care
Rockcliffe-Smythe,111,Construction,Retail trade,Manufacturing,Health care,Admin &                         support
Beechborough-Greenbrook,112,Retail trade,Construction,Health care,Manufacturing,Admin &                         support
Weston,113,Retail trade,Health care,Manufacturing,Construction,Admin &                         support
Lambton Baby Point,114,Professional,Education,Retail trade,Finance,Health care
Mount Dennis,115,Construction,Health care,Admin &                         support,Manufacturing,Retail trade
Steeles,116,Accomodation,Retail trade,Manufacturing,Professional,Finance
L'Amoreaux,117,Retail trade,Manufacturing,Health care,Accomodation,Professional
Tam O'Shanter-Sullivan,118,Retail trade,Health care,Manufacturing,Professional,Finance
Wexford/Maryvale,119,Retail trade,Health care,Manufacturing,Accomodation,Finance
Clairlea-Birchmount,120,Health care,Retail trade,Accomodation,Finance,Manufacturing
Oakridge,121,Accomodation,Retail trade,Health care,Admin &                         support,Transportation
Birchcliffe-Cliffside,122,Health care,Professional,Retail trade,Education,Finance
Cliffcrest,123,Professional,Retail trade,Finance,Health care,Education
Kennedy Park,124,Health care,Retail trade,Accomodation,Manufacturing,Admin &                         support
Ionview,125,Health care,Retail trade,Accomodation,Manufacturing,Finance
Dorset Park,126,Retail trade,Manufacturing,Health care,Accomodation,Admin &                         support
Bendale,127,Health care,Retail trade,Manufacturing,Finance,Professional
Agincourt South-Malvern West,128,Manufacturing,Retail trade,Health care,Accomodation,Professional
Agincourt North,129,Manufacturing,Accomodation,Retail trade,Health care,Finance
Milliken,130,Accomodation,Manufacturing,Retail trade,Health care,Professional
Rouge,131,Manufacturing,Health care,Retail trade,Finance,Professional
Malvern,132,Manufacturing,Retail trade,Health care,Accomodation,Admin &                         support
Centennial Scarborough,133,Finance,Health care,Education,Professional,Retail trade
Highland Creek,134,Health care,Retail trade,Finance,Manufacturing,Education
Morningside,135,Health care,Retail trade,Manufacturing,Admin &                         support,Accomodation
West Hill,136,Retail trade,Health care,Admin &                         support,Manufacturing,Accomodation
Woburn,137,Retail trade,Manufacturing,Health care,Admin &                         support,Accomodation
Eglinton East,138,Health care,Retail trade,Accomodation,Manufacturing,Admin &                         support
Scarborough Village,139,Health care,Retail trade,Admin &                         support,Manufacturing,Accomodation
Guildwood,140,Education,Professional,Health care,Retail trade,Finance
