Neighborhood,ID,Latitude,Longitude,"11 Agriculture, forestry, fishing and hunting","21 Mining, quarrying, and oil and gas extraction",22 Utilities,23 Construction,31-33 Manufacturing,41 Wholesale trade,44-45 Retail trade,48-49 Transportation and warehousing,51 Information and cultural industries,52 Finance and insurance,53 Real estate and rental and leasing,"54 Professional, scientific and technical services",55 Management of companies and enterprises,"56 Administrative and support, waste management and remediation services",61 Educational services,62 Health care and social assistance,"71 Arts, entertainment and recreation",72 Accommodation and food services,81 Other services (except public administration),91 Public administration,Any Job,Avg House Price,Avg Household Income,HAI,Avg House Price Categories,Avg Household Income Categories,HAI Categories,Assault,AutoTheft,Homicide,TheftOver,BreakandEnter,Robbery,All Crimes,Assault Categories,AutoTheft Categories,Homicide Categories,TheftOver Categories,BreakandEnter Categories,Robbery Categories,All Crimes Categories,English,French,Montagnais (Innu),Swampy Cree,Ojibway,Oji-Cree,Ottawa (Odawa),Dene,Sarsi (Sarcee),Mohawk,Dakota,Kabyle,Bilen,Oromo,Somali,Waray-Waray,Amharic,Arabic,Assyrian Neo-Aramaic,Chaldean Neo-Aramaic,Harari,Hebrew,Maltese,Tigrigna,Khmer (Cambodian),Vietnamese,Bikol,Cebuano,Fijian,Hiligaynon,Ilocano,Malagasy,Malay,"Pampangan (Kapampangan, Pampango)",Pangasinan,"Tagalog (Pilipino, Filipino)",Haitian Creole,Kannada,Malayalam,Tamil,Telugu,Albanian,Armenian,Latvian,Lithuanian,Belarusan,Bosnian,Bulgarian,Croatian,Czech,Macedonian,Polish,Russian,Serbian,Serbo-Croatian,Slovak,Slovene (Slovenian),Ukrainian,Scottish Gaelic,Welsh,Afrikaans,Danish,Dutch,German,Icelandic,Norwegian,Swedish,Vlaams (Flemish),Yiddish,Greek,Bengali,Gujarati,Hindi,Kashmiri,Konkani,Marathi,Nepali,Oriya (Odia),Punjabi (Panjabi),Sindhi,Sinhala (Sinhalese),Urdu,Kurdish,Pashto,Persian (Farsi),Catalan,Japanese,Italian,Portuguese,Romanian,Spanish,Georgian,Korean,Mongolian,Akan (Twi),Bamanankan,Edo,Ewe,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Igbo,Lingala,Rundi (Kirundi),Kinyarwanda (Rwanda),Shona,Swahili,Wolof,Yoruba,Dinka,Cantonese,Hakka,Mandarin,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Wu (Shanghainese),Burmese,Tibetan,Lao,Thai,Azerbaijani,Turkish,Uyghur,Uzbek,Estonian,Finnish,Hungarian,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
Westminster-Branson,35,43.7788132165,-79.4524182256,0.167,0.162,0.18,0.388,0.541,0.327,0.498,0.369,0.086,0.065,0.182,0.095,0.1,0.391,0.279,0.544,0.207,0.316,0.783,0.184,0.267,693000,82000,83.367,"Low (<964,000)","Low (<106,666)",Medium (76-100),422,105,0,17,172,55,771,Low (<588),Medium (105-184),Low (<2),Low (<26),Low (<224),Low (<109),"Low (<1,138)",0.204,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.069,0.003,0.0,0.0,1.0,0.0,0.0,0.0,0.014,0.0,0.846,0.0,0.667,1.0,0.0,0.286,0.0,0.0,1.0,0.0,0.0,0.018,0.006,0.048,0.167,0.069,0.167,0.2,0.5,0.077,0.538,0.0,0.7,0.069,0.103,1.0,0.131,0.0,0.008,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.4,0.026,0.017,0.012,0.065,0.0,0.0,0.0,0.063,0.0,0.001,0.138,0.0,0.012,0.176,0.018,0.114,0.0,0.015,0.015,0.01,0.421,0.172,1.0,0.183,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.019,0.0,0.038,0.0,0.026,0.0,0.167,0.0,0.0,0.25,1.0,0.149,0.0,1.0,0.0,0.0,0.44,0.0,0.0,0.0,0.333,0.25,0.667,0.125,0.0,0.0,0.2,0.167,0.0,0.067,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.4,0.0,0.7,0.0,0.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,0.429,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.143,0.5,0.0
Newtonbrook West,36,43.7858299384,-79.4314215112,0.417,0.162,0.2,0.329,0.354,0.324,0.444,0.236,0.095,0.096,0.191,0.107,0.08,0.281,0.275,0.421,0.163,0.316,0.673,0.197,0.239,1100000,101000,64.691,"Medium (964,000-1,432,000)","Low (<106,666)",Low (<76),617,188,0,43,242,92,1182,"Medium (588-1,027)",High (>184),Low (<2),Medium (26-44),Medium (224-353),Low (<109),"Medium (1,138-1,773)",0.186,0.065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.028,0.084,0.0,0.0,0.0,0.708,0.0,0.048,0.0,0.032,0.0,0.538,0.0,0.667,0.609,0.0,0.286,1.0,1.0,0.779,0.0,0.0,0.035,0.006,0.048,0.083,0.025,0.167,0.15,0.5,0.0,0.231,0.0,0.1,0.069,0.076,0.44,0.055,0.0,0.0,0.111,0.085,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.04,0.065,0.009,0.008,0.037,0.0,0.0,0.0,0.051,0.333,0.003,0.034,0.0,0.014,0.176,0.006,0.309,0.0,0.104,0.102,0.016,0.211,0.106,0.462,0.465,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.049,0.0,0.161,0.0,0.368,0.182,0.0,0.004,0.0,0.0,0.9,0.128,0.0,0.455,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.0,0.0,0.2,0.167,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.333,0.286,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.143,0.0,0.0
Willowdale West,37,43.771210491800005,-79.4275578,0.0,0.054,0.16,0.141,0.145,0.227,0.273,0.106,0.105,0.105,0.175,0.117,0.18,0.141,0.283,0.216,0.095,0.136,0.248,0.205,0.163,962000,100000,73.238,"Low (<964,000)","Low (<106,666)",Low (<76),600,95,1,34,167,121,1018,"Medium (588-1,027)",Low (<105),Low (<2),Medium (26-44),Low (<224),Medium (109-192),"Low (<1,138)",0.163,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.084,0.0,0.0,0.0,0.146,0.0,0.048,0.0,0.007,0.0,0.0,0.0,0.167,0.022,0.0,0.429,0.0,0.0,0.028,0.0,0.0,0.018,0.001,0.048,0.021,0.025,0.167,0.0,0.0,0.077,0.154,0.069,0.0,0.034,0.048,0.13,0.076,0.111,0.008,0.056,0.02,0.0,0.0,0.0,0.0,0.286,0.267,0.0,0.0,0.0,0.0,0.0,0.032,0.019,0.003,0.065,0.0,0.0,0.0,0.013,0.0,0.003,0.0,0.0,0.007,0.0,0.0,0.286,0.333,0.209,0.039,0.014,0.116,0.062,0.115,0.376,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.073,0.212,0.0,0.263,0.227,0.0,0.0,0.0,0.25,0.2,0.053,0.0,0.0,0.111,0.2,0.16,0.0,0.0,0.0,0.333,0.0,0.333,0.5,0.0,0.0,0.0,0.167,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.6,0.0,0.7,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.333,0.143,0.0,0.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.143,0.0,0.0
Lansing-Westgate,38,43.754271154899996,-79.4247477215,0.333,0.0,0.12,0.168,0.159,0.23,0.247,0.168,0.092,0.099,0.182,0.131,0.08,0.147,0.305,0.309,0.139,0.149,0.339,0.189,0.179,1350000,176500,92.114,"Medium (964,000-1,432,000)","High (>152,333)",Medium (76-100),437,146,10,43,240,90,966,Low (<588),Medium (105-184),High (>4),Medium (26-44),Medium (224-353),Low (<109),"Low (<1,138)",0.203,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.089,0.0,0.02,0.0,0.146,0.0,0.0,0.0,0.005,0.0,0.231,0.0,0.0,0.087,0.0,0.143,0.0,0.0,0.164,0.0,0.25,0.018,0.003,0.071,0.021,0.011,0.167,0.05,0.0,0.0,0.423,0.069,0.1,0.069,0.041,0.109,0.048,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.267,0.0,1.0,0.5,0.0,0.04,0.039,0.012,0.0,0.084,0.0,0.0,0.091,0.0,0.0,0.0,0.034,0.0,0.004,0.0,0.006,0.143,0.0,0.09,0.004,0.023,0.147,0.099,0.077,0.166,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.049,0.08,0.0,0.053,0.091,0.0,0.0,0.0,0.0,0.1,0.032,0.0,0.091,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.25,0.333,0.375,0.0,0.0,0.2,0.5,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.8,0.0,0.6,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.667,0.286,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.143,0.0,0.0
Bedford Park-Nortown,39,43.731486231800005,-79.4202273481,0.167,0.081,0.22,0.177,0.18,0.363,0.313,0.071,0.085,0.126,0.443,0.168,0.26,0.174,0.392,0.47,0.184,0.163,0.61,0.124,0.231,2500000,315666,88.961,"High (>1,432,000)","High (>152,333)",Medium (76-100),189,197,0,48,398,55,887,Low (<588),High (>184),Low (<2),High (>44),High (>353),Low (<109),"Low (<1,138)",0.369,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.333,0.065,0.0,0.0,0.0,0.0,0.218,0.0,0.0,0.0,0.001,0.0,0.125,0.007,0.0,0.05,0.0,0.0,0.0,0.069,0.0,0.069,0.034,0.03,0.048,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.143,0.533,0.0,0.0,0.0,0.0,0.52,0.097,0.0,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.001,0.034,0.045,0.001,0.059,0.006,0.047,0.0,0.045,0.037,0.009,0.095,0.076,0.019,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.03,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.091,0.0,0.2,0.18,0.0,0.0,0.333,0.0,0.25,0.333,0.625,0.0,0.0,0.2,0.167,0.0,0.333,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.545,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.286,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St.Andrew-Windfields,40,43.7562458348,-79.37903708649999,0.167,0.108,0.16,0.206,0.173,0.281,0.222,0.112,0.072,0.079,0.323,0.116,0.24,0.156,0.24,0.442,0.133,0.123,0.295,0.151,0.178,2500000,263000,74.119,"High (>1,432,000)","High (>152,333)",Low (<76),280,113,2,47,441,40,923,Low (<588),Medium (105-184),Medium (2-4),High (>44),High (>353),Low (<109),"Low (<1,138)",0.213,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.074,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.333,0.043,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.004,0.071,0.125,0.044,0.0,0.0,0.0,0.077,0.077,0.034,0.0,0.069,0.028,0.035,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.267,0.0,0.0,0.0,0.0,0.0,0.045,0.026,0.003,0.028,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.136,0.011,0.0,0.0,0.159,0.333,0.149,0.013,0.009,0.305,0.119,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.082,0.0,0.207,0.0,0.105,0.136,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.222,0.2,0.12,0.0,0.0,0.333,0.0,0.25,0.333,0.5,0.0,0.0,0.2,0.333,0.0,0.2,0.0,1.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.6,0.0,0.2,0.0,0.0,1.0,0.333,0.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.333,0.286,0.0,0.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bridle Path-Sunnybrook-York Mills,41,43.7310131378,-79.3789041759,0.417,0.27,0.18,0.089,0.062,0.169,0.077,0.032,0.05,0.075,0.166,0.062,0.04,0.049,0.119,0.176,0.078,0.034,0.114,0.046,0.087,4425000,745250,118.66,"High (>1,432,000)","High (>152,333)",High (>100),300,93,0,50,526,35,1004,Low (<588),Low (<105),Low (<2),High (>44),High (>353),Low (<109),"Low (<1,138)",0.138,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.034,0.1,0.0,0.0,0.017,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.267,0.0,0.0,0.5,0.0,0.0,0.026,0.0,0.003,0.009,0.0,0.0,0.0,0.0,0.0,0.001,0.034,0.0,0.0,0.0,0.0,0.045,0.0,0.03,0.0,0.009,0.011,0.025,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.059,0.0,0.079,0.045,0.0,0.0,0.0,0.0,0.1,0.053,0.0,0.0,0.111,0.0,0.02,0.0,0.0,0.0,0.667,0.5,0.333,0.625,0.0,0.0,0.0,0.333,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.727,0.6,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.286,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.143,0.0,0.0
Banbury-Don Mills,42,43.737657004300004,-79.3497179808,0.167,0.108,0.16,0.259,0.226,0.442,0.404,0.245,0.182,0.144,0.388,0.18,0.22,0.252,0.416,0.49,0.112,0.175,0.559,0.281,0.27,1802500,200000,78.175,"High (>1,432,000)","High (>152,333)",Medium (76-100),290,78,0,37,264,54,723,Low (<588),Low (<105),Low (<2),Medium (26-44),Medium (224-353),Low (<109),"Low (<1,138)",0.351,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.187,0.0,0.0,0.2,0.062,0.0,0.0,0.0,0.007,0.0,0.077,0.0,0.167,0.022,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.018,0.012,0.119,0.271,0.069,0.5,0.0,0.0,0.0,0.5,0.069,0.2,0.31,0.097,0.042,0.345,0.444,0.034,0.0,0.025,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.161,0.026,0.036,0.131,0.0,0.333,0.182,0.0,0.0,0.003,0.379,0.0,0.036,0.176,0.0,0.119,0.0,0.164,0.009,0.013,0.537,0.103,0.0,0.081,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.024,0.203,0.0,0.105,0.136,0.0,0.0,0.0,0.25,0.0,0.191,0.167,0.0,0.667,0.2,0.3,1.0,0.0,0.333,0.0,0.25,0.333,0.625,0.0,0.0,0.0,0.167,0.0,0.333,0.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.182,0.6,0.0,0.0,0.0,0.0,1.0,0.333,0.6,1.0,0.0,1.0,0.5,0.0,0.111,0.0,0.0,0.0,0.0,0.571,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.143,0.0,0.0
Victoria Village,43,43.728489019399994,-79.31487382649999,0.167,0.054,0.04,0.247,0.196,0.158,0.379,0.206,0.083,0.082,0.123,0.055,0.0,0.239,0.203,0.292,0.102,0.176,0.315,0.178,0.163,846000,88000,73.287,"Low (<964,000)","Low (<106,666)",Low (<76),681,94,3,28,222,75,1103,"Medium (588-1,027)",Low (<105),Medium (2-4),Medium (26-44),Low (<224),Low (<109),"Low (<1,138)",0.193,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.278,0.596,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.011,0.0,0.077,0.0,0.333,0.022,0.0,0.143,0.5,0.0,0.176,0.0,0.0,0.053,0.036,0.167,0.146,0.087,0.333,0.0,0.0,0.0,0.577,0.034,0.0,0.483,0.021,0.015,0.069,0.111,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.484,0.061,0.058,0.15,0.0,0.0,0.0,0.025,0.0,0.007,1.0,0.182,0.069,0.471,0.025,0.072,0.0,0.075,0.031,0.004,0.095,0.108,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.667,0.118,0.0,0.0,0.0,0.021,0.024,0.031,0.0,0.053,0.091,0.0,0.011,0.0,0.0,0.1,0.181,0.0,0.0,0.222,0.0,0.1,1.0,0.0,0.667,0.333,0.25,0.333,0.5,0.0,0.0,0.2,0.333,0.5,0.067,0.0,1.0,0.333,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.091,0.4,0.0,0.1,0.0,0.0,0.5,0.333,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.2,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.5,0.143,0.0,0.0
Flemingdon Park,44,43.715929753999994,-79.3326459673,0.0,0.0,0.12,0.189,0.247,0.205,0.414,0.327,0.097,0.058,0.151,0.061,0.12,0.362,0.199,0.297,0.105,0.311,0.429,0.151,0.186,496000,70000,99.433,"Low (<964,000)","Low (<106,666)",Medium (76-100),643,35,0,17,95,91,881,"Medium (588-1,027)",Low (<105),Low (<2),Low (<26),Low (<224),Low (<109),"Low (<1,138)",0.168,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.286,0.065,0.0,0.5,0.315,0.0,0.0,0.4,0.0,0.0,0.762,0.0,0.018,0.0,0.231,0.0,0.5,0.174,0.0,0.429,0.0,0.0,0.331,0.0,0.75,0.053,0.096,0.238,0.104,0.022,0.333,0.0,0.0,0.231,0.423,0.034,0.5,0.207,0.021,0.04,0.083,0.111,1.0,0.0,0.015,0.0,0.0,0.0,0.0,0.143,0.133,0.0,0.0,0.0,0.0,0.0,0.484,0.196,0.214,0.486,0.0,0.0,0.091,0.0,0.333,0.015,0.862,0.318,0.281,0.118,0.399,0.209,0.0,0.104,0.004,0.004,0.179,0.112,0.0,0.048,0.0,0.013,0.0,0.0,0.0,1.0,0.0,0.0,0.111,0.5,0.0,0.5,0.667,0.176,0.0,0.0,0.0,0.036,0.0,0.054,0.0,0.026,0.136,0.0,0.004,0.0,0.25,0.1,0.351,0.833,0.364,0.111,0.0,0.2,1.0,0.0,0.667,0.333,0.25,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.467,0.0,1.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.091,0.2,0.0,0.0,0.0,0.0,0.0,0.333,0.3,1.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.286,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,1.0,0.0,0.143,0.0,0.0
